Order_ID,Order_Date,Customer_Name,Region,Product,Category,Quantity,Price,Sales
72,2/28/2023,Customer_26,East,Phone,Electronics,3,30000,90000
73,12/2/2023,Customer_27,West,Monitor,Accessories,3,5000,15000
74,2/7/2023,Customer_2,south,Monitor,Accessories,2,10000,20000
75,4/20/2023,Customer_20,North,Laptop,Electronics,2,30000,60000
76,12/26/2023,Customer_35,South,Monitor,Accessories,5,20000,100000
77,11/4/2023,Customer_47,East,Laptop,Accessories,5,30000,150000
78,12/2/2023,Customer_43,East,Headphones,Electronics,2,10000,20000
79,11/1/2023,Customer_5,North,Monitor,Electronics,3,5000,15000
80,12/10/2023,Customer_44,North,Laptop,Electronics,3,10000,30000
81,2/22/2023,Customer_23,East,Monitor,Electronics,5,10000,50000
82,1/10/2023,Customer_33,West,Phone,Electronics,2,5000,10000
83,3/22/2023,Customer_22,East,Monitor,Electronics,3,10000,30000
84,7/2/2023,Customer_35,East,Monitor,Accessories,2,10000,20000
85,7/15/2023,Customer_12,South,Tablet,Accessories,3,30000,90000
86,7/28/2023,Customer_8,south,Headphones,Electronics,3,1000,3000
87,6/19/2023,Customer_6,West,Tablet,Accessories,5,10000,50000
88,10/29/2023,Customer_35,East,laptop,Electronics,3,5000,15000
89,8/27/2023,Customer_32,East,Monitor,Electronics,5,10000,50000
90,8/13/2023,Customer_21,East,laptop,Electronics,3,10000,30000
91,11/13/2023,Customer_6,North,Headphones,Electronics,1,10000,10000
92,4/11/2023,Customer_31,south,Tablet,Electronics,2,30000,60000
93,3/31/2023,Customer_3,West,Monitor,Accessories,3,10000,30000
94,7/9/2023,Customer_33,North,Phone,Electronics,3,30000,90000
95,2/11/2023,Customer_17,south,Tablet,Electronics,5,30000,150000
96,12/21/2023,Customer_26,south,Monitor,Electronics,3,30000,90000
97,2/26/2023,Customer_46,West,Laptop,Electronics,5,5000,25000
98,8/6/2023,Customer_35,North,Tablet,Accessories,3,1000,3000
99,10/5/2023,Customer_3,East,Headphones,Accessories,2,20000,40000
100,2/11/2023,Customer_44,North,laptop,Accessories,3,5000,15000
101,6/17/2023,Customer_30,East,Monitor,Electronics,1,5000,5000
102,5/27/2023,Customer_23,North,Monitor,Electronics,3,5000,15000
103,5/26/2023,Customer_13,East,Laptop,Electronics,5,10000,50000
104,10/3/2023,Customer_31,North,Tablet,Electronics,1,5000,5000
105,7/4/2023,Customer_28,south,laptop,Electronics,5,5000,25000
106,2/5/2023,Customer_25,North,Headphones,Accessories,3,5000,15000
107,8/3/2023,Customer_24,West,Tablet,Electronics,2,10000,20000
108,5/17/2023,Customer_23,East,Tablet,Accessories,3,10000,30000
109,3/10/2023,Customer_16,East,Monitor,Electronics,3,10000,30000
110,6/14/2023,Customer_12,South,Monitor,Electronics,3,30000,90000
111,2/18/2023,Customer_29,East,Phone,Electronics,3,10000,30000
112,3/14/2023,Customer_35,East,laptop,Electronics,4,10000,40000
113,3/14/2023,Customer_31,East,Monitor,Electronics,5,30000,150000
114,2/24/2023,Customer_14,East,Monitor,Accessories,4,5000,20000
115,6/14/2023,Customer_2,East,Monitor,Electronics,5,10000,50000
116,1/20/2023,Customer_45,south,laptop,Electronics,3,20000,60000
117,12/2/2023,Customer_35,East,Tablet,Electronics,2,5000,10000
118,11/18/2023,Customer_10,South,Tablet,Electronics,5,20000,100000
119,2/24/2023,Customer_11,East,laptop,Electronics,3,30000,90000
120,7/17/2023,Customer_28,South,Headphones,Electronics,2,30000,60000
121,5/23/2023,Customer_22,North,Phone,Electronics,3,20000,60000
122,5/27/2023,Customer_21,East,Monitor,Electronics,2,1000,2000
123,6/5/2023,Customer_16,South,laptop,Electronics,3,20000,60000
124,7/10/2023,Customer_34,East,Monitor,Electronics,3,1000,3000
125,7/10/2023,Customer_35,East,Headphones,Electronics,5,5000,25000
126,6/22/2023,Customer_34,East,Headphones,Electronics,2,10000,20000
127,7/26/2023,Customer_6,West,laptop,Electronics,2,5000,10000
128,3/2/2023,Customer_40,East,Monitor,Electronics,4,20000,80000
129,1/28/2023,Customer_8,North,Laptop,Electronics,2,10000,20000
130,6/19/2023,Customer_2,East,Tablet,Electronics,2,10000,20000
131,9/21/2023,Customer_9,south,Monitor,Electronics,5,10000,50000
132,9/21/2023,Customer_26,East,Monitor,Accessories,1,30000,30000
133,7/17/2023,Customer_33,East,Monitor,Electronics,3,10000,30000
134,7/17/2023,Customer_20,East,Headphones,Electronics,3,1000,3000
135,5/23/2023,Customer_36,North,Tablet,Electronics,3,1000,3000
136,5/23/2023,Customer_35,South,Monitor,Accessories,5,30000,150000
137,5/5/2023,Customer_30,East,laptop,Electronics,3,10000,30000
138,5/5/2023,Customer_50,south,Headphones,Electronics,3,1000,3000
139,4/2/2023,Customer_49,south,Headphones,Electronics,4,20000,80000
140,5/27/2023,Customer_46,South,Headphones,Electronics,2,5000,10000
141,1/1/2024,Customer_17,south,Tablet,Electronics,2,10000,20000
142,3/28/2023,Customer_17,East,Monitor,Electronics,1,10000,10000
143,9/24/2023,Customer_10,East,Monitor,Electronics,3,10000,30000
144,12/7/2023,Customer_17,East,Phone,Electronics,1,10000,10000
145,12/7/2023,Customer_9,West,Phone,Electronics,4,10000,40000
146,1/26/2023,Customer_43,South,Laptop,Accessories,3,30000,90000
147,12/5/2023,Customer_50,East,Tablet,Electronics,1,20000,20000
148,4/29/2023,Customer_5,East,laptop,Electronics,3,30000,90000
149,2/18/2023,Customer_35,North,Tablet,Electronics,2,30000,60000
150,1/28/2023,Customer_25,North,laptop,Electronics,1,30000,30000
151,2/3/2023,Customer_35,East,Monitor,Electronics,2,10000,20000
152,5/3/2023,Customer_37,North,Tablet,Accessories,4,5000,20000
153,5/3/2023,Customer_17,East,Phone,Electronics,3,5000,15000
154,5/25/2023,Customer_35,East,Monitor,Accessories,2,1000,2000
155,10/28/2023,Customer_27,South,Phone,Electronics,4,20000,80000
156,10/23/2023,Customer_17,East,Tablet,Electronics,2,10000,20000
157,5/10/2023,Customer_23,East,Monitor,Electronics,3,10000,30000
158,8/24/2023,Customer_3,south,Monitor,Accessories,3,30000,90000
159,12/19/2023,Customer_10,south,Headphones,Electronics,3,30000,90000
160,12/19/2023,Customer_16,South,Monitor,Electronics,5,20000,100000
161,9/13/2023,Customer_5,West,Monitor,Electronics,5,10000,50000
162,9/13/2023,Customer_26,South,Tablet,Electronics,3,10000,30000
163,9/13/2023,Customer_45,East,Phone,Electronics,1,10000,10000
164,8/28/2023,Customer_5,south,Phone,Electronics,1,20000,20000
165,8/22/2023,Customer_23,South,Monitor,Electronics,1,10000,10000
166,5/5/2023,Customer_48,West,Headphones,Electronics,3,1000,3000
167,6/20/2023,Customer_41,south,Monitor,Accessories,2,10000,20000
168,6/20/2023,Customer_31,North,Laptop,Electronics,5,20000,100000
169,3/26/2023,Customer_48,East,Monitor,Electronics,3,30000,90000
170,2/13/2023,Customer_35,West,Monitor,Accessories,5,1000,5000
171,7/19/2023,Customer_32,South,Monitor,Electronics,3,5000,15000
172,7/19/2023,Customer_18,East,Tablet,Accessories,4,5000,20000
173,8/22/2023,Customer_35,East,laptop,Electronics,3,20000,60000
174,8/22/2023,Customer_50,south,laptop,Electronics,3,10000,30000
175,6/13/2023,Customer_35,south,Monitor,Electronics,3,10000,30000
176,8/17/2023,Customer_18,North,Monitor,Accessories,3,5000,15000
177,8/17/2023,Customer_17,South,Headphones,Accessories,3,10000,30000
178,7/11/2023,Customer_35,East,Laptop,Electronics,1,10000,10000
179,11/11/2023,Customer_49,South,Headphones,Accessories,3,20000,60000
180,1/10/2023,Customer_19,East,Tablet,Accessories,3,5000,15000
181,5/21/2023,Customer_47,East,Monitor,Accessories,1,10000,10000
182,5/21/2023,Customer_1,south,laptop,Electronics,3,20000,60000
183,9/10/2023,Customer_44,East,Tablet,Electronics,3,10000,30000
184,2/10/2023,Customer_20,East,Phone,Electronics,3,5000,15000
185,7/24/2023,Customer_34,south,Monitor,Accessories,5,1000,5000
186,4/12/2023,Customer_18,West,Phone,Electronics,3,10000,30000
187,3/3/2023,Customer_5,East,Laptop,Electronics,3,1000,3000
188,9/23/2023,Customer_19,south,laptop,Accessories,5,10000,50000
189,6/18/2023,Customer_33,south,Tablet,Electronics,1,10000,10000
190,6/16/2023,Customer_20,North,laptop,Electronics,4,1000,4000
191,6/16/2023,Customer_29,south,Phone,Electronics,3,1000,3000
192,6/16/2023,Customer_24,East,Monitor,Electronics,2,1000,2000
193,4/28/2023,Customer_39,East,Laptop,Electronics,2,1000,2000
194,10/23/2023,Customer_14,East,Laptop,Electronics,4,5000,20000
195,12/8/2023,Customer_35,South,Headphones,Accessories,2,5000,10000
196,3/9/2023,Customer_1,West,Monitor,Electronics,1,20000,20000
197,2/24/2023,Customer_27,South,Tablet,Electronics,2,10000,20000
198,2/9/2023,Customer_44,West,Monitor,Electronics,3,30000,90000
199,6/1/2023,Customer_32,south,Monitor,Accessories,3,10000,30000
200,1/6/2023,Customer_19,North,Monitor,Electronics,3,20000,60000
201,7/18/2023,Customer_35,East,Monitor,Electronics,3,10000,30000
202,7/30/2023,Customer_7,East,Tablet,Electronics,3,1000,3000
203,12/27/2023,Customer_35,East,Phone,Accessories,2,1000,2000
204,6/10/2023,Customer_12,South,Headphones,Electronics,1,10000,10000
205,12/30/2023,Customer_49,South,Phone,Accessories,5,10000,50000
206,1/25/2023,Customer_6,East,Headphones,Electronics,1,30000,30000
207,8/5/2023,Customer_2,West,laptop,Electronics,3,10000,30000
208,6/12/2023,Customer_35,East,Monitor,Electronics,4,10000,40000
209,1/14/2023,Customer_44,West,Monitor,Accessories,4,10000,40000
210,2/25/2023,Customer_14,East,Headphones,Accessories,2,10000,20000
211,2/25/2023,Customer_49,South,Monitor,Electronics,3,30000,90000
212,10/19/2023,Customer_47,North,Headphones,Electronics,1,30000,30000
213,5/31/2023,Customer_2,East,Monitor,Electronics,3,10000,30000
214,6/15/2023,Customer_12,West,Phone,Accessories,1,5000,5000
215,10/20/2023,Customer_28,North,Headphones,Accessories,2,10000,20000
216,7/19/2023,Customer_26,East,Monitor,Accessories,1,30000,30000
217,1/20/2023,Customer_16,South,Phone,Accessories,3,30000,90000
218,9/8/2023,Customer_27,south,Headphones,Accessories,3,30000,90000
219,12/13/2023,Customer_5,East,laptop,Electronics,2,5000,10000
220,9/24/2023,Customer_49,West,Monitor,Electronics,5,10000,50000
221,8/2/2023,Customer_35,North,Phone,Electronics,3,5000,15000
222,4/19/2023,Customer_8,West,Laptop,Electronics,3,30000,90000
223,11/25/2023,Customer_47,south,Monitor,Electronics,3,10000,30000
224,12/6/2023,Customer_46,East,Tablet,Electronics,2,10000,20000
225,12/1/2023,Customer_49,North,Headphones,Accessories,5,5000,25000
226,10/1/2023,Customer_47,West,Monitor,Electronics,2,1000,2000
227,10/1/2023,Customer_11,East,Phone,Accessories,3,20000,60000
228,8/23/2023,Customer_40,East,Headphones,Accessories,3,5000,15000
229,9/29/2023,Customer_39,North,laptop,Accessories,1,10000,10000
230,12/7/2023,Customer_28,East,Monitor,Electronics,3,10000,30000
231,10/16/2023,Customer_2,North,Monitor,Electronics,5,20000,100000
232,9/26/2023,Customer_4,North,Phone,Electronics,2,10000,20000
233,9/26/2023,Customer_3,South,Tablet,Accessories,2,5000,10000
234,6/11/2023,Customer_14,North,laptop,Electronics,3,1000,3000
235,5/11/2023,Customer_35,North,Headphones,Accessories,3,10000,30000
236,5/11/2023,Customer_44,North,Monitor,Accessories,5,10000,50000
237,9/10/2023,Customer_7,West,Headphones,Electronics,2,10000,20000
238,7/14/2023,Customer_4,East,Phone,Accessories,5,10000,50000
239,8/20/2023,Customer_10,south,Tablet,Electronics,3,10000,30000
240,8/26/2023,Customer_32,South,laptop,Accessories,3,10000,30000
241,5/13/2023,Customer_27,south,laptop,Electronics,3,10000,30000
242,3/19/2023,Customer_7,North,Monitor,Accessories,1,5000,5000
243,10/13/2023,Customer_30,East,Tablet,Accessories,3,10000,30000
244,1/4/2023,Customer_9,West,Monitor,Electronics,1,10000,10000
245,12/24/2023,Customer_35,West,Phone,Accessories,2,10000,20000
246,1/7/2023,Customer_39,East,Phone,Electronics,2,10000,20000
247,12/21/2023,Customer_35,East,Monitor,Electronics,2,20000,40000
248,3/31/2023,Customer_5,South,Phone,Accessories,1,30000,30000
249,3/31/2023,Customer_11,East,Monitor,Electronics,2,10000,20000
250,6/11/2023,Customer_50,East,Monitor,Electronics,2,1000,2000
